id,titulo_oficial,unidades_extraccion,n_sujetos_catalogo,titulo_introduce_sujeto_nuevo,sujeto_del_titulo,n_candidatos_sujeto_nuevo,sujetos_catalogo_top5
cescar,Cesión de cartera de créditos,21,9,False,,0,Sujeto_deudor; Sujeto_entidad_financiera; Sujeto_banco; Sujeto_sefyc; Sujeto_fideicomiso
cirmo3,Circulación monetaria,240,10,False,,4,Sujeto_bcra; Sujeto_entidad_financiera; Sujeto_banco; Sujeto_persona_humana; Sujeto_persona_juridica
coltit,Colocación de títulos valores de deuda y obtención de líneas de crédito del exterior,39,7,False,,0,Sujeto_entidad_financiera; Sujeto_banco; Sujeto_banco_comercial; Sujeto_compania_financiera; Sujeto_caja_de_credito
consyr,"Instrumentación, conservación y reproducción de documentos",0,0,False,,0,
convca,Conversión cambiaria,13,2,False,,0,Sujeto_banco; Sujeto_bcra
cryl,"Central de registro y liquidación de instrumentos de deuda pública, regulación monetaria y fideicomisos financieros (CRyL).",64,7,False,fideicomisos financieros cryl,2,Sujeto_bcra; Sujeto_entidad_financiera; Sujeto_fideicomiso; Sujeto_fideicomiso_financiero; Sujeto_banco
ctacor,Cuentas de corresponsalía,21,7,False,,0,Sujeto_entidad_financiera; Sujeto_casa_de_cambio; Sujeto_deudor; Sujeto_contraparte; Sujeto_banco
ctacte,Reglamentación de la cuenta corriente bancaria,388,14,False,,2,Sujeto_banco; Sujeto_entidad_financiera; Sujeto_bcra; Sujeto_cliente; Sujeto_persona_juridica
ctavis,Cuentas a la vista abiertas en las cajas de crédito cooperativas,275,15,False,cajas de credito cooperativas,0,Sujeto_caja_de_credito; Sujeto_caja_de_credito_cooperativa; Sujeto_entidad_financiera; Sujeto_banco; Sujeto_bcra
depaho,"Depósitos de ahorro, cuenta sueldo y especiales",437,21,False,,10,Sujeto_entidad_financiera; Sujeto_cliente; Sujeto_arca; Sujeto_banco; Sujeto_persona_humana
depinv,Depósitos e inversiones a plazo,202,16,False,,0,Sujeto_entidad_financiera; Sujeto_bcra; Sujeto_arca; Sujeto_banco; Sujeto_cliente
disres,Distribución de resultados,38,6,False,,0,Sujeto_entidad_financiera; Sujeto_banco; Sujeto_bcra; Sujeto_sefyc; Sujeto_sujeto
dmrd,Disciplina de Mercado - Requisitos mínimos de divulgación.,0,0,False,,0,
docvig,Documentos de identificación en vigencia,31,4,False,,0,Sujeto_cliente; Sujeto_entidad_financiera; Sujeto_banco; Sujeto_persona_humana
efemin,Efectivo mínimo,121,23,False,,1,Sujeto_entidad_financiera; Sujeto_bcra; Sujeto_banco; Sujeto_sujeto; Sujeto_cliente
evacre,Evaluaciones crediticias,18,8,False,,0,Sujeto_entidad_financiera; Sujeto_banco; Sujeto_sefyc; Sujeto_sector_publico_no_financiero; Sujeto_contraparte
expaef,Expansión de entidades financieras,165,9,False,entidades financieras,2,Sujeto_entidad_financiera; Sujeto_sefyc; Sujeto_cliente; Sujeto_bcra; Sujeto_banco
fabcra,Firmas Autorizadas ante el BCRA,42,8,False,,1,Sujeto_bcra; Sujeto_banco; Sujeto_entidad_financiera; Sujeto_compania_financiera; Sujeto_entidad_cambiaria
fclef,Fideicomisos financieros comprendidos en la Ley de Entidades Financieras.,28,8,False,fideicomisos financieros comprendidos,0,Sujeto_entidad_financiera; Sujeto_fideicomiso; Sujeto_sefyc; Sujeto_deudor; Sujeto_bcra
fgarcp,Fondos de garantía de carácter público,21,15,False,fondos de garantia de caracter,1,Sujeto_fondo_de_garantia_publico; Sujeto_entidad_financiera; Sujeto_bcra; Sujeto_sefyc; Sujeto_deudor
fimipyme,Linea de financiamiento para la inversion productiva de MiPyME,51,13,False,,1,Sujeto_entidad_financiera; Sujeto_sector_privado_no_financiero; Sujeto_cliente; Sujeto_sujeto; Sujeto_banco
finsec,Financiamiento al sector público no financiero,131,12,False,sector publico no financiero,3,Sujeto_entidad_financiera; Sujeto_fideicomiso; Sujeto_sector_publico_no_financiero; Sujeto_bcra; Sujeto_banco
garant,Garantías,104,14,False,,1,Sujeto_entidad_financiera; Sujeto_fideicomiso; Sujeto_sujeto; Sujeto_banco; Sujeto_deudor
garopt,Garantías por intermediación en operaciones entre terceros,41,2,False,,0,Sujeto_entidad_financiera; Sujeto_importador
gerc,Grandes exposiciones al riesgo de crédito.,114,20,False,,3,Sujeto_entidad_financiera; Sujeto_contraparte; Sujeto_sefyc; Sujeto_entidad_de_contraparte_central; Sujeto_persona_humana
gescre,Gestión crediticia,59,15,False,,0,Sujeto_entidad_financiera; Sujeto_deudor; Sujeto_cliente; Sujeto_persona_humana; Sujeto_banco
gracre,Graduación del crédito,67,14,False,,0,Sujeto_entidad_financiera; Sujeto_deudor; Sujeto_cliente; Sujeto_sector_publico_no_financiero; Sujeto_contraparte
graloc,Gestión de riesgos asociados a la liquidación de operaciones de cambio,100,6,False,,0,Sujeto_entidad_financiera; Sujeto_contraparte; Sujeto_banco; Sujeto_cliente; Sujeto_sujeto
horari,Horario de las entidades financieras,13,5,False,entidades financieras,1,Sujeto_entidad_financiera; Sujeto_banco; Sujeto_bcra; Sujeto_cliente; Sujeto_sefyc
icmecma,Comunicación por medios electrónicos para el cuidado del medio ambiente,47,17,False,,1,Sujeto_sujeto; Sujeto_entidad_financiera; Sujeto_bcra; Sujeto_cliente; Sujeto_usuario_de_servicios_financieros
incuca,Incumplimientos de capitales mínimos y relaciones técnicas. Criterios aplicables,23,8,False,,0,Sujeto_entidad_financiera; Sujeto_sefyc; Sujeto_cliente; Sujeto_sujeto; Sujeto_banco
inspag,Características de los instrumentos de pago que emiten las entidades financieras,75,3,False,entidades financieras,3,Sujeto_banco; Sujeto_bcra; Sujeto_entidad_financiera
jafip,Disposiciones judiciales originadas en juicios entablados por ARCA,91,8,False,,3,Sujeto_arca; Sujeto_entidad_financiera; Sujeto_banco; Sujeto_deudor; Sujeto_fondo_comun_de_inversion
lavdin,"Prevención del lavado de activos, del financiamiento del terrorismo y otras actividades ilícitas",29,9,False,,0,Sujeto_entidad_financiera; Sujeto_bcra; Sujeto_sujeto; Sujeto_banco; Sujeto_cliente
lingeef,Lineamientos para la gestión de riesgos en las entidades financieras,613,15,False,entidades financieras,8,Sujeto_entidad_financiera; Sujeto_deudor; Sujeto_sujeto; Sujeto_sefyc; Sujeto_cliente
lingob,Lineamientos para el gobierno societario en entidades financieras.,139,7,False,gobierno societario en entidades,1,Sujeto_entidad_financiera; Sujeto_sefyc; Sujeto_banco; Sujeto_bcra; Sujeto_cliente
manori,Manuales de originación y administración de préstamos,16,11,False,,9,Sujeto_deudor; Sujeto_entidad_financiera; Sujeto_banco; Sujeto_usuario_de_servicios_financieros; Sujeto_aseguradora
manual,RI - Manual de Cuentas vigente al 31/12/17.,0,0,False,,0,
micemp,"Determinación de la condición de micro, pequeña o mediana empresa",0,0,False,,0,
nmaeef,Normas mínimas sobre auditorías externas para entidades financieras,0,0,False,entidades financieras,0,
nmcief,Normas mínimas sobre controles internos para entidades financieras,0,0,False,entidades financieras,0,
opecam,Operadores de cambio.,56,14,False,,0,Sujeto_bcra; Sujeto_agencia_de_cambio; Sujeto_sefyc; Sujeto_entidad_cambiaria; Sujeto_entidad_financiera
opefci,"Operaciones al contado a liquidar y a término, pases, cauciones, otros derivados y con fondos comunes de inversión.",77,14,False,fondos comunes de inversion,0,Sujeto_entidad_financiera; Sujeto_bcra; Sujeto_fondo_comun_de_inversion; Sujeto_contraparte; Sujeto_banco
optico,Presentación de informaciones al BCRA,0,0,False,,0,
ordcom,"Ordenamiento, emisión y  divulgación de Comunicaciones y Comunicados de Prensa",65,22,False,,0,Sujeto_bcra; Sujeto_banco; Sujeto_entidad_financiera; Sujeto_proveedor_de_servicios_de_pago; Sujeto_caja_de_credito
osapsa,Otros servicios y actividades prestados por sujetos alcanzados,12,10,True,sujetos alcanzados,0,Sujeto_entidad_financiera; Sujeto_empresa_no_financiera_emisora_de_tarjetas; Sujeto_cliente; Sujeto_banco; Sujeto_banco_comercial
pagjub,Pago de beneficios de la seg. soc. por cuenta de la Adm. Nacional de la Seguridad Social (ANSES),52,5,False,,2,Sujeto_bcra; Sujeto_entidad_financiera; Sujeto_banco; Sujeto_cliente; Sujeto_deudor
pfmipyme,Plataformas para el financiamiento MiPyME,52,8,False,,0,Sujeto_bcra; Sujeto_sefyc; Sujeto_persona_juridica; Sujeto_entidad_financiera; Sujeto_arca
pimf,Principios para las infraestructuras del mercado financiero.,165,8,False,,0,Sujeto_bcra; Sujeto_banco; Sujeto_cliente; Sujeto_sefyc; Sujeto_sujeto
plandecuentas,RI - Plan de cuentas.,0,0,False,,0,
pognme,Posición global neta de moneda extranjera.,17,8,False,,0,Sujeto_bcra; Sujeto_entidad_financiera; Sujeto_banco; Sujeto_sujeto; Sujeto_cliente
polcre,Política de crédito,61,15,False,,0,Sujeto_entidad_financiera; Sujeto_banco; Sujeto_cliente; Sujeto_deudor; Sujeto_exportador
prevmi,Previsiones mínimas por riesgo de incobrabilidad,52,10,False,,0,Sujeto_deudor; Sujeto_entidad_financiera; Sujeto_cliente; Sujeto_sefyc; Sujeto_banco
pscpp,Proveedores de servicios de créditos entre particulares a través de plataformas.,22,12,False,proveedores de servicios de creditos,0,Sujeto_pscpp; Sujeto_bcra; Sujeto_sefyc; Sujeto_entidad_financiera; Sujeto_persona_juridica
raapal,Ratio de apalancamiento.,40,11,False,,0,Sujeto_entidad_financiera; Sujeto_ccp_calificada; Sujeto_miembro_compensador; Sujeto_cliente; Sujeto_entidad_de_contraparte_central
ratio,Ratio de cobertura de liquidez,132,18,False,,4,Sujeto_entidad_financiera; Sujeto_banco; Sujeto_cliente; Sujeto_fideicomiso; Sujeto_aseguradora
ratiofn,Ratio de fondeo neto estable.,133,14,False,,2,Sujeto_entidad_financiera; Sujeto_banco; Sujeto_bcra; Sujeto_sefyc; Sujeto_mipyme
rdbcra,Régimen disciplinario a cargo del Banco Central de la República Argentina (Leyes 21.526 y 25.065) y tramitación de sumarios cambiarios (Ley 19.359),261,13,False,banco central de la,0,Sujeto_bcra; Sujeto_entidad_financiera; Sujeto_persona_humana; Sujeto_sefyc; Sujeto_persona_juridica
regpri,Régimen para facilitar la privatización de Bancos Prov. y Municipales y las fusiones y absorciones,19,5,False,bancos prov y municipales,0,Sujeto_banco; Sujeto_entidad_financiera; Sujeto_cliente; Sujeto_sector_publico_no_financiero; Sujeto_sujeto
relact,Relación para los activos inmovilizados y otros conceptos,38,7,False,,0,Sujeto_entidad_financiera; Sujeto_sefyc; Sujeto_deudor; Sujeto_cliente; Sujeto_banco
repefe,Representantes de entidades financieras del exterior no autorizadas para operar  en el país,87,5,False,entidades financieras del exterior,2,Sujeto_entidad_financiera; Sujeto_sefyc; Sujeto_bcra; Sujeto_banco; Sujeto_casa_de_cambio
reqcac,Requisitos Operativos Mínimos de Tecnología y Sistemas de Información p/ Casas y Agencias de Cambio,0,0,False,casas y agencias de cambio,0,
retype,Pago de retiros y pensiones militares,40,2,False,,0,Sujeto_banco; Sujeto_bcra
ri2_ae,Normas mínimas sobre auditorías externas para casas y agencias de cambio.,0,0,False,casas y agencias de cambio,0,
ri2_ci,Normas mínimas sobre controles internos para casas y agencias de cambio,45,7,False,casas y agencias de cambio,3,Sujeto_agencia_de_cambio; Sujeto_cliente; Sujeto_bcra; Sujeto_sefyc; Sujeto_entidad_financiera
ri2_cs,RI - Casas y Agencias de Cambio - Contable Anual,0,0,False,casas y agencias de cambio,0,
ri2_pm,RI - Casas y Agencias de Cambio - Plan y Manual de Cuentas,0,0,False,casas y agencias de cambio,0,
ri_acsf,RI Cont. Mensual - Agencias complementarias de servicios financieros.,0,0,True,agencias complementarias de servicios,0,
ri_ai,RI Cont. Mensual - Relación para los activos inmovilizados y otros conceptos,11,6,False,,0,Sujeto_entidad_financiera; Sujeto_cliente; Sujeto_banco; Sujeto_deudor; Sujeto_sujeto
ri_ao,RI Cont. Mensual - Anticipo de Operaciones.,0,0,False,,0,
ri_bdp,RI Cont. Mensual - Base de Datos Padrón,0,0,False,,0,
ri_cc,RI para Cajas de Crédito - contable,33,11,False,cajas de credito contable,0,Sujeto_banco; Sujeto_caja_de_credito; Sujeto_bcra; Sujeto_entidad_financiera; Sujeto_cliente
ri_ccna,RI para Cajas de Crédito - Normas de Auditoría,0,0,False,cajas de credito normas,0,
ri_ccpnp,RI para Cajas de Crédito - Plan de Negocios y Proyecciones,0,0,False,cajas de credito plan,0,
ri_chr,RI Cont. Mensual - Cheques Rechazados,0,0,False,,0,
ri_con,RI Cont. Mensual - Estado de Consolidación de Entidades Locales con Filiales y Subsidiarias Significativas en el País y en el Exterior.,0,0,True,entidades locales con filiales,0,
ri_cr,RI Cont. Mensual - Reclamos,0,0,False,,0,
ri_dcpc,RI - Disposiciones complementarias al plan de cuentas.,0,0,False,,0,
ri_dsf,RI Cont. Mensual - Deudores del Sistema Financiero y Composición de los conjuntos económicos.,0,0,False,deudores del sistema financiero,0,
ri_esd,RI Cont. Mensual - Estado de Situación de Deudores Consolidado con Filiales y Subsidiarias Significativas en el País y en el Exterior .,0,0,False,deudores consolidado con filiales,0,
ri_fcem,RI - Facturas de Crédito Electrónicas MiPyME.,0,0,False,,0,
ri_gerc,RI Cont. Mensual - Grandes exposiciones al riesgo de crédito.,15,9,False,,0,Sujeto_contraparte; Sujeto_entidad_financiera; Sujeto_deudor; Sujeto_banco; Sujeto_ccp_calificada
ri_icpipsp,RI - Informe de Contadores Públicos Independientes sobre el cumplimiento de las Normas del BCRA por parte de los Proveedores de Servicios de Pago.,0,0,False,proveedores de servicios de pago,0,
ri_ieccm,"RI - Informe Especial respecto del cumplimiento de Capitales Mínimos (Comunicación ""A"" 7584)",0,0,False,,0,
ri_iepsp,"RI - Informe especial sobre el cumplimiento de las normas sobre ""Proveedores no financieros de crédito"".",0,0,False,proveedores no financieros de credito,0,
ri_iesinap,RI - Informe especial de cumplimiento requerido por el punto 1.5.5.10. de las normas sobre “Sistema Nacional de Pagos Transferencias Normas complementarias”,0,0,False,,0,
ri_ii_31_12_19,RI Cont. Mensual - Información Institucional de Entidades Financieras y Cambiarias - Vigente a partir del 31.12.19,0,0,False,entidades financieras y cambiarias,0,
ri_itme,RI Cont. Mensual - Información sobre tenencias en moneda extranjera de casas y agencias de cambio.,0,0,False,casas y agencias de cambio,0,
ri_laft,"RI - Prevención del Lavado de Activos, del Financiamiento del Terrorismo y Otras Actividades Ilícitas.",0,0,False,,0,
ri_mmsef,RI Cont. Mensual - Medidas mínimas de seguridad en entidades financieras,0,0,False,entidades financieras,0,
ri_msrl,RI Cont. Mensual - Medición y Seguimiento del Riesgo de Liquidez,0,0,False,,0,
ri_nge,RI Cont. Mensual - Normas generales,0,0,False,,0,
ri_niif,RI - Estados financieros para publicación trimestral/anual.,0,0,False,,0,
ri_oc,RI Cont. Mensual - Operaciones de Cambio,0,0,False,,0,
ri_ot,RI Cont. Mensual - Operaciones a Término,0,0,False,,0,
ri_pfmipyme,RI - Plataformas para el Financiamiento MiPyME.,0,0,False,,0,
ri_pgn,RI Cont. Mensual - Posición Global Neta en Moneda Extranjera,19,11,False,,0,Sujeto_bcra; Sujeto_banco; Sujeto_entidad_financiera; Sujeto_cliente; Sujeto_fideicomiso
ri_pnp,RI - Plan de negocios y proyecciones.,0,0,False,,0,
ri_pscpp,RI - Proveedores de servicios de créditos entre particulares a través de plataformas (RI-PSCPP),0,0,False,proveedores de servicios de creditos,0,
ri_psp,RI - Proveedores de servicios de pago que ofrecen cuentas de pago.,0,0,False,proveedores de servicios de pago,0,
ri_pspapt,RI - Proveedores de Servicios de Pago - Adquirentes de pagos con tarjeta,0,0,False,proveedores de servicios de pago,0,
ri_pspii,RI - Proveedores de Servicios de Pago - Información Contable,0,0,False,proveedores de servicios de pago,0,
ri_psprca,RI - Proveedores de Servicios de Pago – Redes de Cajeros Automáticos,0,0,False,proveedores de servicios de pago,0,
ri_rcl,RI Cont. Mensual - Ratio de Cobertura de Liquidez,0,0,False,,0,
ri_rem,RI Cont. Mensual - Pago de Remuneraciones mediante Acreditación en Cuenta Bancaria.,0,0,False,,0,
ri_rml,RI Cont. Mensual - Efectivo mínimo y aplicación de recursos,27,21,False,,6,Sujeto_bcra; Sujeto_entidad_financiera; Sujeto_sujeto; Sujeto_mipyme; Sujeto_deudor
ri_saofe,RI Cont. Mensual - Seguimiento de anticipos y otras financiaciones de exportaciones.,0,0,False,,0,
ri_secoexpo,RI Cont. Mensual - Seguimiento de las negociaciones de divisas de exportaciones de bienes.,0,0,False,,0,
ri_sef,RI Cont. Mensual - Unidades de servicios de las entidades financieras,0,0,False,entidades financieras,0,
ri_spi,RI Cont. Mensual - Seguimiento de Pagos de Importaciones.,0,0,False,,0,
ri_tar,RI Cont. Mensual - Financiamiento con tarjetas de crédito,0,0,False,,0,
ri_tii,RI Cont. Mensual - Transferencias Inmediatas Intraentidades,0,0,False,,0,
ri_transpa,RI Cont. Mensual - Transparencia,0,0,False,,0,
ri_tsa,RI para supervisión,0,0,False,,0,
ri_tvf,RI Cont. Mensual - Títulos Valores,0,0,False,,0,
ribspc,RI Cont. Mensual - Balance de Saldos.,0,0,False,,0,
rmgcti,Requisitos mínimos para la gestión y control de los riesgos de tecnología y seguridad de la información,32,8,False,,3,Sujeto_cliente; Sujeto_entidad_financiera; Sujeto_sefyc; Sujeto_bcra; Sujeto_usuario_de_servicios_financieros
rmrtsd,Requisitos mínimos ges. y ctrol. tec. y seg. de la inf. asociados a los servicios financieros digitales.,31,7,False,,1,Sujeto_cliente; Sujeto_sujeto; Sujeto_persona_humana; Sujeto_organismo_publico; Sujeto_entidad_financiera
rrci,Lineamientos para la respuesta y recuperación ante ciberincidentes (RRCI),77,7,False,,1,Sujeto_sujeto; Sujeto_cliente; Sujeto_bcra; Sujeto_sefyc; Sujeto_entidad_financiera
secfin,Secreto financiero,22,6,False,,0,Sujeto_bcra; Sujeto_entidad_financiera; Sujeto_banco; Sujeto_sujeto; Sujeto_persona_juridica
seggar,Aplicación del sistema de seguro de garantía de depósitos.,0,0,False,,0,
seguef,Medidas mínimas de seguridad en entidades financieras,0,0,False,entidades financieras,0,
servco,Servicios complementarios de la actividad financiera y actividades permitidas.,40,18,False,,0,Sujeto_entidad_financiera; Sujeto_sefyc; Sujeto_banco; Sujeto_cliente; Sujeto_banco_comercial
snp_atm,Sistema Nacional de Pagos - Cajeros automáticos,16,4,False,,0,Sujeto_entidad_financiera; Sujeto_cliente; Sujeto_usuario_de_servicios_financieros; Sujeto_bcra
snp_cec,Sistema Nacional de Pagos - Cámaras electrónicas de compensación,121,10,False,,2,Sujeto_deudor; Sujeto_bcra; Sujeto_entidad_financiera; Sujeto_sefyc; Sujeto_cliente
snp_cheq,Sistema Nacional de Pagos - Cheques y otros instrumentos compensables,540,8,False,,10,Sujeto_banco; Sujeto_bcra; Sujeto_entidad_financiera; Sujeto_cliente; Sujeto_sujeto
snp_dd,Sistema Nacional de Pagos - Débitos Directos,53,8,False,,4,Sujeto_banco; Sujeto_cliente; Sujeto_bcra; Sujeto_entidad_financiera; Sujeto_sujeto
snp_debin,Sistema Nacional de Pagos - Débito Inmediato,70,8,False,,2,Sujeto_pspcp; Sujeto_entidad_financiera; Sujeto_cliente; Sujeto_bcra; Sujeto_persona_humana
snp_mep,Sistema Nacional de Pagos - Medio electrónico de pagos (MEP),46,14,False,,0,Sujeto_bcra; Sujeto_banco; Sujeto_entidad_financiera; Sujeto_compania_financiera; Sujeto_casa_de_cambio
snp_psp,Proveedores de servicios de pago,88,13,False,proveedores de servicios de pago,0,Sujeto_bcra; Sujeto_pspcp; Sujeto_entidad_financiera; Sujeto_cliente; Sujeto_proveedor_de_servicios_de_pago
snp_spd,Sistema Nacional de Pagos - Servicios de pago.,129,11,False,,0,Sujeto_entidad_financiera; Sujeto_bcra; Sujeto_pspcp; Sujeto_cliente; Sujeto_proveedor_de_servicios_de_pago
snp_tr,Sistema Nacional de Pagos - Transferencias.,89,8,False,,7,Sujeto_cliente; Sujeto_bcra; Sujeto_entidad_financiera; Sujeto_banco; Sujeto_pspcp
snp_tr_nc,Sistema Nacional de Pagos - Transferencias - Normas complementarias.,136,12,False,,1,Sujeto_entidad_financiera; Sujeto_cliente; Sujeto_bcra; Sujeto_pspcp; Sujeto_sujeto
socgar,Sociedades de garantía recíproca inscriptas en el Banco Central.,12,10,False,sociedades de garantia reciproca,0,Sujeto_sociedad_de_garantia_reciproca; Sujeto_sefyc; Sujeto_deudor; Sujeto_cliente; Sujeto_bcra
supcon,Supervisión consolidada,67,9,False,,0,Sujeto_entidad_financiera; Sujeto_sefyc; Sujeto_banco; Sujeto_sector_publico_no_financiero; Sujeto_bcra
tasint,Tasas de interés en las operaciones de crédito,67,10,False,,1,Sujeto_entidad_financiera; Sujeto_bcra; Sujeto_usuario_de_servicios_financieros; Sujeto_cliente; Sujeto_sujeto
traval,Transportadoras de valores,28,7,False,,0,Sujeto_bcra; Sujeto_entidad_financiera; Sujeto_persona_juridica; Sujeto_sefyc; Sujeto_banco
venliq,Ventanilla de liquidez del BCRA.,16,4,False,,0,Sujeto_entidad_financiera; Sujeto_bcra; Sujeto_sefyc; Sujeto_banco
verac,Veracidad de las registraciones contables,0,0,False,,0,
